Graduation Year,Role,Employer,Company's Industry,Role Category,Tag 1,Tag 2,Tag 3,Career Webpage,Specify Other Industry,POST,Comments,Confidence Score
2025,Financial Analyst and External Sales Coordinator,BC Hydro,Sustainability/Environment,Finance & Banking,Finance & Banking,Energy and Resources,,https://www.bchydro.com/work-with-us.html,Finance- Corporate Finance,PRE,,80
2025,Student Ambassador,BC Hydro,Sustainability/Environment,Energy and Resources,Energy and Resources,,,https://www.bchydro.com/work-with-us.html,,PRE,,80
2025,Wildfire Prevention Co-op,BC Public Service,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,Internships,,,https://www2.gov.bc.ca/gov/content/careers-myhr/job-seekers/featured-careers,,PRE,,40
2025,Compliance Intern,BCI,Finance - Investment Banking,Law,Law,,,https://bci.wd10.myworkdayjobs.com/BCI_Careers,,PRE,,80
2025,Junior Quantitative Analyst,Beach Algorithms,Other,Academia,Academia,,,,Data Science,PRE,,80
2025,Financial Analyst,Beenova AI,Other,Finance & Banking,Finance & Banking,,,https://www.beenova.ai/,Tech,PRE,,80
2025,Investment Analyst,Boann Social Impact,Finance - Investment Banking,Business & Enterprise,,,,https://www.boann.ca/jobs,,PRE,,70
2025,Sales Associate,Boathouse/Blackwell Supply Company ,Other,Business & Enterprise,,,,https://boathousestores.com/pages/join-us,,PRE,,70
2025,Smoothie Master,Body Energy Club,Other,Business & Enterprise,,,,https://www.bodyenergyclub.com/pages/career,Food,PRE,,40
2025,Tutor,BrightSparkz Tutors Canada,Academia,Academia,Academia,,,https://brightsparkz.ca/become-a-tutor/,,PRE,,80
2025,Front Desk,Cactus Club Cafe,Other,Business & Enterprise,Customer Experience and Service Management,"Hospitality & Retail (Food, Service Industries)",,https://www.cactusclubcafe.com/hiring/,Food/Hospitality,POST,Started during degree,80
2025,Investor Relations & Operations Intern,Can Terra Financial Inc.,Finance - Corporate Finance,Business & Enterprise,Internships,,,,,PRE,,40
2025,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Academia,Academia,,,https://www.cbsa-asfc.gc.ca/menu-eng.html,,PRE,,80
2025,Administrative Assistant,Canada Border Services Agency,Government and NGO's/No-Profit Organizations (NPOs),Academia,Academia,,,https://www.cbsa-asfc.gc.ca/menu-eng.html,,PRE,,80
2025,In-Seat Runner,Canucks Sports & Entertainment (CSE),Other,Business & Enterprise,,,,https://jobs.canucks.com/?_ga=1.250402639.837776307.1469035065,Hospitality,PRE,,40
2025,Product Research Fellow,Circonomy,Sustainability/Environment,Research,Research,Academia,,https://www.circonomy.co/,,PRE,,80
2025,Intern,Circular Impact,Sustainability/Environment,Business & Enterprise,Internships,,,https://www.linkedin.com/company/circular-impact-io/,,PRE,,40
2025,"Founder, Automation Engineer",Clarity Works,Other,Technology,Technology,Engineering,Business & Enterprise,https://www.tryclarityworks.com/#contact,AI Automation,POST,Started during degree,85
2025,Junior Analyst,CMLS Financial,Finance - Investment Banking,Finance & Banking,Data Science & Analytics,,,https://www.cmls.ca/who-we-are/our-people,,PRE,,70
2025,Transformation Analyst,Community Foundations of Canada,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,Data Science & Analytics,,,https://communityfoundations.ca/working-with-us/,,PRE,,70
2025,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Marketing & Communications,Marketing & Communications,,,https://consultingace.com/,,PRE,,85
2025,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Marketing & Communications,Marketing & Communications,,,https://consultingace.com/,,PRE,,85
2025,Translator,COVER Corporation,Other,Business & Enterprise,,,,https://cover-corp.com/en/recruit,Entertainment/Communications,POST,Started during degree,40
2025,Intern,Creative Consulting Group,Consulting,Business & Enterprise,Internships,,,https://creativegp.com/,,POST,Started during degree,40
2025,Translator,Crimson Global Academy,Academia,Business & Enterprise,,,,https://crimsonacademies.school/#w-node-_7dc0e30c-6e1f-4bb7-bf02-386ff897bd91-f897bd8c,Communications,PRE,,40
2025,Founder and Project Lead,Dabao Penang,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,,,,https://www.facebook.com/dabaopg/,,PRE,,40
2025,Landscaper,DALE CLARK,Entrepreneurship,Business & Enterprise,,,,,Laborer,PRE,,40
2025,Marketing Intern,Daxue Consulting,Consulting,Marketing & Communications,Marketing & Communications,Internships,,https://daxueconsulting.com/we-recruit/,,PRE,,85
2025,Supply Chain and Logistics Intern,DeeBee's Organics,Other,Business & Enterprise,Operations and Supply Chain Management,,,https://www.deebeesorganics.com/pages/about-us,Food/Supply Chain Logistics,PRE,,80
2025,Computer Programmer,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,Technology,,,https://www.deenstrong.com/careers,,PRE,,40
2025,Marketing Intern,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Marketing & Communications,Marketing & Communications,Internships,,https://www.deenstrong.com/careers,,PRE,,85
2025,Research Intern,Delhi School of Economics,Academia,Research,Research,Internships,,http://econdse.org/permanent-positions/,,PRE,,80
2025,Consultant,Deloitte,Consulting,Consulting & Advisory,Consulting & Advisory,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,85
2025,"Coaching, Facilitation & Design Thinking Intern",Deloitte,Consulting,Academia,Academia,Consulting & Advisory,Internships,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025,Mid-Market Portolio Management Intern,Deloitte,Consulting,Consulting & Advisory,Internships,Consulting & Advisory,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025,Corporate Finance Analyst,Deloitte,Consulting,Finance & Banking,Finance & Banking,Consulting & Advisory,Internships,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,,80
2025,Corporate Finance Analyst,Deloitte,Consulting,Finance & Banking,Finance & Banking,Consulting & Advisory,Internships,https://www.deloitte.com/global/en/careers/job-search.html,,POST,Started during degree,80
2025,Virtual Aerospace Course Instructor,Department of National Defense,Government and NGO's/No-Profit Organizations (NPOs),Government,Federal,,,https://www.canada.ca/en/department-national-defence.html,,PRE,,80
2025,Head Muralist,Deschutes Painting Inc,Other,Business & Enterprise,,,,https://deschutespainting.com/hiring/,Creative arts,PRE,,40
2025,Summer Intern,Digitalife Corporation,Other,Business & Enterprise,Internships,,,https://www.linkedin.com/company/digitalife-corporation/,Tech,PRE,,40
2025,Strategy & Planning Intern,DYNE Technologies Inc.,Data Science,Consulting & Advisory,Consulting & Advisory,Internships,,https://www.dyneapp.ca/career,,PRE,,85
2025,Marketing Intern,Elevate Vancouver,Other,Marketing & Communications,Marketing & Communications,Internships,,,"Multiple (music, real estate, consulting)",PRE,,85
2025,Equity Analyst Intern,Enso Gestão de Patrimônio,Wealth Management,Business & Enterprise,Internships,,,https://www.ensogp.com.br/,,PRE,,70
2025,"Consulting Intern, Business Transformation",EY,Finance - Corporate Finance,Consulting & Advisory,Consulting & Advisory,Internships,Operations and Supply Chain Management,https://www.ey.com/en_ca/careers,,PRE,,85
2025,Business Development Representative,Fidelity Canada,Finance - Investment Banking,Finance & Banking,Investment Banking,,,https://careers.fidelity.ca/en/index/,,POST,,80
2025,Publishing Intern,Fintel Connect,Marketing,Business & Enterprise,Internships,,,https://www.fintelconnect.com/about-us/careers/,Communications,PRE,,40
2025,Guest Experience Intern,Flyover,Other,Business & Enterprise,Internships,,,https://www.pursuit.com/careers/flyover/,Entertainment/Hospitality,PRE,,40
2025,Guest Experience Intern,Flyover,Other,Business & Enterprise,Internships,,,https://www.pursuit.com/careers/flyover/,Entertainment/Hospitality,PRE,,40
2025,Founder,FoundHer Studio,Entrepreneurship,Business & Enterprise,,,,,,POST,,40
2025,Sales Associate,Frank and Oak,Other,Business & Enterprise,,,,https://www.linkedin.com/company/frank-&-oak/,Retail,PRE,,70
2025,Subtitle Creator,Freelance,Entrepreneurship,Business & Enterprise,,,,,Communications,POST,Started during degree,40
2025,Venture Capital Investment Associate,Front Row Ventures,Finance - Private Equity,Finance & Banking,Private Equity,,,https://frontrow.ventures/join-us/,,PRE,,80
2025,Intern,FSD Zambia,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,Internships,,,https://www.linkedin.com/company/fsdzambia/,,PRE,,40
2025,Account Management Associate,Gentai Capital,Finance - Investment Banking,Finance & Banking,Investment Banking,,,https://gentaicapital.com/careers/,,POST,Started during degree,70
2025,Junior Analyst,Global Affairs Canada,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,Data Science & Analytics,,,https://international.canada.ca/en/global-affairs/corporate/jobs,,PRE,,70
2025,Junior Trade Policy Officer,Global Affairs Canada,Government and NGO's/No-Profit Organizations (NPOs),Policy,Policy,,,https://international.canada.ca/en/global-affairs/corporate/jobs,,PRE,,80
2025,Analyst,Goldman Sachs,Finance - Investment Banking,Finance & Banking,Data Science & Analytics,Investment Banking,,https://www.goldmansachs.com/careers/,,PRE,,70
2025,Investment Banking Analyst,Goldman Sachs,Finance - Investment Banking,Finance & Banking,Finance & Banking,Investment Banking,,https://www.goldmansachs.com/careers/,,POST,,90
2025,Assistant General Manager,Gold's Gym,Other,Recreation and Culture,,,,https://www.goldsgym.com/careers/,Fitness,PRE,,80
2025,General Manager,Gold's Gym,Other,Recreation and Culture,Recreation and Culture,,,https://www.goldsgym.com/careers/,Fitness,POST,Started during degree,80
2025,Admin and Marketing Team Lead,Gold's Gym,Other,Marketing & Communications,Marketing & Communications,Recreation and Culture,,https://www.goldsgym.com/careers/,Fitness,PRE,,85
2025,Front Desk Receptionist,Gold's Gym,Other,Recreation and Culture,Customer Experience and Service Management,Recreation and Culture,,https://www.goldsgym.com/careers/,Fitness/Hospitality,PRE,,80
2025,Remote Research Support,Graduate Research Project,Health/Policy/Research,Research,Research,,,,,PRE,,80
2025,Ski Instructor,Grouse Mountain,Other,Recreation and Culture,Recreation and Culture,,,https://www.grousemountain.com/careers,Recreation,PRE,,80
2025,Summer Intern,"Guotai Junan Securities Co., Ltd",Finance - Investment Banking,Business & Enterprise,Internships,Finance & Banking,,https://www.gtht.com/,,PRE,,40
2025,Store Cashier,H Mart,Other,"Hospitality & Retail (Food, Service Industries)","Hospitality & Retail (Food, Service Industries)",,,https://www.hmart.com/about-us/careers,Retail,PRE,,85
2025,Student Trustee,Halton Catholic District School Board,Academia,Business & Enterprise,,,,https://www.hcdsb.org/careers/,,PRE,,40
2025,Equity Research Summer Associate ,Halyk Finance,Finance - Investment Banking,Research,Research,Academia,,https://halykfinance.kz/?lang=ru,Finance-Private Equity,PRE,,80
2025,Concierge Attendant,Hayden Homes Amphitheater,Other,Business & Enterprise,,,,https://www.bendconcerts.com/work-with-us/employment,Entertainment/Hospitality,PRE,,40
2025,Head Coordinator of Youth Operations,Hellenic Community of Vancouver,Government and NGO's/No-Profit Organizations (NPOs),Business & Enterprise,,,,https://helleniccommunity.org/,,PRE,,70
2025,Influencer Marketing PR Intern,HINATURE,Other,Marketing & Communications,Marketing & Communications,,,https://www.linkedin.com/company/hinature/about/,Beauty,PRE,,85
2025,Intern,iA Financial Group (Industrial Alliance),Wealth Management,Finance & Banking,Wealth Management,Internships,,https://ia.ca/emploi,,PRE,,40
2025,Corporate Project Coordinator,ICBC ,Insurance,Business & Enterprise,Project / Program Development,,,https://www.icbc.com/about-icbc/careers,Product Managment,PRE,,80
2025,"Accounting Assistant, Corporate Services Directorate",Indigenous Services Canada,Government and NGO's/No-Profit Organizations (NPOs),Government,Accounting,,,https://www.rcaanc-cirnac.gc.ca/eng/1100100033784/1610113269343,,PRE,,80
2025,"Junior Policy Analyst, Industry Skills Directorate","Innovation, Science and Economic Development Canada",Government and NGO's/No-Profit Organizations (NPOs),Policy,Policy,,,https://ised-isde.canada.ca/site/job-opportunities/en,,PRE,,80
2025,General Restaurant Services,JAPADOG,Other,Business & Enterprise,,,,https://japadog.com/careers,Food/Hospitality,PRE,,80
2025,Assent Management Analyst,JM Financial Asset Management Ltd.,Finance - Investment Banking,Finance & Banking,Asset Management,,,https://www.jmfl.com/careers/career-space,,PRE,,80
2025,Sales Associate,kate spade new york,Other,Business & Enterprise,Sales / Business Development,,,https://careers.tapestry.com/,Retail,PRE,,70
2025,Collections Assistant,Kilby Historic Site,Other,Academia,Academia,,,https://kilby.ca/support/employment-opportunities/,Museum,PRE,,80
2025,Research Development Intern,Klue,Other,Research,Internships,,,https://klue.com/careers,Software Development,PRE,,80
2025,Warehouse Associate,KMS Tools & Equipment,Other,Business & Enterprise,,,,https://www.kmstools.com/careers,Retail,PRE,,70
2025,Management Consulting Intern,KPMG,Consulting,Consulting & Advisory,Internships,,,https://kpmg.com/xx/en/careers.html,,PRE,,85
2025,Team Member,krave kulture yogurt,Other,Business & Enterprise,,,,https://www.kravekulture.ca/,Food/Hospitality,PRE,,40
2025,Summer Research Assistant,Krea University,Academia,Research,Research,Academia,,http://www.krea.edu.in/,,PRE,,80
2025,Portfolio Intern,LEAP | Pecaut Centre for Social Impact,Government and NGO's/No-Profit Organizations (NPOs),Finance & Banking,Internships,,,https://leap-pecautcentre.ca/join-our-team,,POST,,85
2025,Business Development & Partnership Project,Leo Charter Services,Other,Business & Enterprise,,,,https://www.leocharterservices.com/join-us,Transportation,PRE,,40
2025,Business Development Intern,Leo Charter Services,Other,Business & Enterprise,Internships,,,https://www.leocharterservices.com/join-us,Transportation,PRE,,40
2025,Market Research Intern,Lumiwealth,Data Science,Research,Internships,,,https://lumiwealth.com/,Academia ,PRE,,80
2025,Food and Beverage Team Member,Marine Drive Golf Club,Other,"Hospitality & Retail (Food, Service Industries)","Hospitality & Retail (Food, Service Industries)",,,https://marine-drive.com/careers/,Food/Hospitality,POST,,85
2025,Client Relationship Associate,Marsh Canada Limited,Insurance,Business & Enterprise,,,,https://careers.marshmclennan.com/global/en/marsh,,POST,,70
2025,Junior Academics Tutor,Math Tutor Network,Academia,Academia,Academia,,,https://www.mathtutornetwork.com/career.html,,PRE,,80
2025,Property Manager,Maxsky Property Management,Other,Real Estate,Real Estate,,,,Real Estate,PRE,,80
2025,Sales and Marketing Specialist,MNM Auto,Other,Marketing & Communications,Sales / Business Development,,,https://mnmauto.ca/,Automotive,POST,Started during degree,85
2025,"Analyst, Public Sector Consulting",MNP,Finance - Corporate Finance,Consulting & Advisory,Data Science & Analytics,,,https://www.mnp.ca/en/careers,Consulting,POST,,85
2025,Undergraduate Legal Intern,Monroe County Public Defender,Law,Law,Law,,,https://www.monroecounty.gov/hr-careers,,PRE,,80
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Economics,Economics,,,https://natural-resources.canada.ca/corporate/careers-natural-resources-canada,,PRE,,80
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Economics,Economics,,,https://natural-resources.canada.ca/corporate/careers-natural-resources-canada,,PRE,,80
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Economics,Economics,,,https://natural-resources.canada.ca/corporate/careers-natural-resources-canada,,PRE,,80
2025,Social Finance Analyst,New Market Funds,Finance - Investment Banking,Finance & Banking,Data Science & Analytics,,,https://newmarketfunds.ca/,,POST,Started during degree,80
2025,Research Analyst,New Power Labs,Health/Policy/Research,Research,Research,,,https://www.newpowerlabs.org/careers,,PRE,,80
2025,Digital Marketing Intern,noDokter,Other,Marketing & Communications,Internships,,,https://www.nodokter.com/,Fitness,PRE,,85
2025,Equity Analyst Intern,Nucleo Captial,Finance - Asset Management,Finance & Banking,Asset Management,Internships,,https://nucleocapital.com.br/,,POST,,70
2025,Project Lead,Nutrition Opportunities Worldwide,Consulting,Business & Enterprise,Project / Program Development,,,https://nutritionops-ww.com/,,PRE,,40
2025,Market Research Intern,Nutrition Opportunities Worldwide,Health/Policy/Research,Research,Research,,,https://nutritionops-ww.com/,Consulting,PRE,,80
2025,Junior Translator,Office Double Rainbow,Other,Business & Enterprise,,,,,Communications,PRE,,40
2025,Investment Research Intern,Orbis Investments,Finance - Investment Banking,Research,Finance & Banking,,,https://www.orbis.com/careers/careers/home,Research,PRE,,80
2025,Policy Analyst,Pacific Economic Development Canada,Government and NGO's/No-Profit Organizations (NPOs),Policy,Policy,,,https://www.canada.ca/en/pacific-economic-development/corporate/careers/apply.html,,PRE,,80
2025,"Policy Analyst, Advocacy",Pacific Economic Development Canada ,Government and NGO's/No-Profit Organizations (NPOs),Policy,Policy,,,https://www.canada.ca/en/pacific-economic-development/corporate/careers/apply.html,,PRE,,80
2025,Swimming Instructor,Pedalheads Bike Camps Inc.,Other,Recreation and Culture,,,,https://pedalheads.com/en/join-the-team/careers,Recreation,PRE,,80
2025,Artist and Tour Marketing Intern,Pennant Music Publishing,Other,Marketing & Communications,Marketing & Communications,Internships,,,Music,PRE,,85
2025,Social Media Manager,Perchance Tea & Coffee,Other,Marketing & Communications,Marketing & Communications,"Hospitality & Retail (Food, Service Industries)",,https://www.perchance.ca/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn6vHL2uv6ftaVpF533TUoMp6erahzvdsPZjnF60frp-MycnPKvO8JOdsfZAE_aem_QQHZQJWkjTjpZMs0A7BgMA,Food/Hospitality,PRE,,85
2025,NFL & FBS Data Collector,PFF,Other,Academia,Data Science & Analytics,,,https://www.pff.com/jobs,Software Development,PRE,,80
2025,Accounting Intern,Pins Entertainment Inc.,Other,Business & Enterprise,Internships,Accounting,,https://pinsentertainment.com/,Entertainment,PRE,,40
2025,Warehouse Worker,Pivot Furniture,Other,Business & Enterprise,,,,https://www.pivotfurniture.com/,Retail,PRE,,40
2025,Client Relations Specialist,Plenty Stores,Other,Marketing & Communications,,,,https://www.getplenty.com/pages/careers,Retail,PRE,,70
2025,Investments Intern,PT Saratoga Investama Sedaya Tbk.,Finance - Investment Banking,Finance & Banking,Internships,Investment Banking,,https://www.saratoga-investama.com/career,,PRE,,80
2025,Assurance Intern,PwC,Finance - Asset Management,Consulting & Advisory,Internships,Consulting & Advisory,,https://jobs-ca.pwc.com/ca/en/home,,PRE,,80
2025,Summer Consultant- Data & Analytics,PwC,Finance - Asset Management,Data Science & Analytics,Technology,Data Science & Analytics,Consulting & Advisory,https://jobs-ca.pwc.com/ca/en/home,Data Science,PRE,,85
2025,Data Analyst,RBC Global Asset Management,Wealth Management,Data Science & Analytics,Technology,Data Science & Analytics,Finance & Banking,https://www.rbcgam.com/en/ca/about-us/our-teams,,PRE,,85
2025,Revenue and Operations Analyst,RBC Global Asset Management,Wealth Management,Business & Enterprise,Finance & Banking,,,https://www.rbcgam.com/en/ca/about-us/our-teams,,POST,Started during degree,70
2025,Junior Policy Analyst,RCAANC-CIRNAC,Government and NGO's/No-Profit Organizations (NPOs),Policy,Policy,,,https://www.rcaanc-cirnac.gc.ca/eng/1100100033784/1610113269343,,PRE,,80
2025,Advisor,rekindle,Sustainability/Environment,Business & Enterprise,,,,https://www.linkedin.com/company/rekindle-ubc/,,POST,,40
2025,Founder and Project Director,rekindle,Sustainability/Environment,Business & Enterprise,,,,https://www.linkedin.com/company/rekindle-ubc/,Retail,PRE,,40
2025,Teaching Assistant,Revera Academy,Academia,Academia,Academia,,,https://www.reveraacademy.com/,,PRE,,80
2025,Assistant Consultant,Roland Berger,Consulting,Consulting & Advisory,Consulting & Advisory,,,https://www.rolandberger.com/en/Join/Join-Us/Start-Your-Journey/,,PRE,,85
2025,Stagiare (Trainee),Safran,Other,Academia,Academia,,,https://www.safran-group.com/careers/why-join-us,Aviation Manufacturing,PRE,,80
2025,Business Analyst,SAP,Other,Business & Enterprise,Data Science & Analytics,,,https://jobs.sap.com/?utm_source=CareerSite&utm_campaign=CorpSite_FT,Software Development,PRE,,70
2025,Teaching Assistant for Enterpreneurial Finance,Sauder School of Business,Academia,Academia,Academia,Post-Secondary Institution,Internships,https://www.sauder.ubc.ca/about-ubc-sauder/careers,,PRE,,80
2025,Server,Schanks Sports Grill,Other,"Hospitality & Retail (Food, Service Industries)","Hospitality & Retail (Food, Service Industries)",,,https://schanks.com/,Hospitality,PRE,,85
2025,Analyst,Scotiabank,Wealth Management,Finance & Banking,Data Science & Analytics,Internships,,https://www.scotiabank.com/careers/en/careers.html,,PRE,,80
2025,Investment Banking Winter Analyst,Scotiabank,Wealth Management,Finance & Banking,Data Science & Analytics,Investment Banking,Internships,https://www.scotiabank.com/careers/en/careers.html,,PRE,,90
2025,Business Analyst ,Scotiabank,Wealth Management,Finance & Banking,Wealth Management,Data Science & Analytics,,https://www.scotiabank.com/careers/en/careers.html,Product Managment,PRE,,80
2025,Business Analyst Intern,Scotiabank,Wealth Management,Finance & Banking,Internships,Data Science & Analytics,,https://www.scotiabank.com/careers/en/careers.html,Product Managment,PRE,,80
2025,Customer Experience Associate,Scotiabank,Wealth Management,Finance & Banking,Customer Experience and Service Management,Wealth Management,Internships,https://www.scotiabank.com/careers/en/careers.html,,PRE,,85
2025,Financial Advisor,Scotiabank,Wealth Management,Finance & Banking,Wealth Management,Internships,,https://www.scotiabank.com/careers/en/careers.html,,POST,,80
2025,Junior Program Coordinator,Scotiabank,Wealth Management,Finance & Banking,Project / Program Development,Wealth Management,Internships,https://www.scotiabank.com/careers/en/careers.html,,PRE,,80
2025,"Strategy and Projects Intern, Canadian Banking",Scotiabank,Wealth Management,Consulting & Advisory,Internships,Finance & Banking,Internships,https://www.scotiabank.com/careers/en/careers.html,,PRE,,85
2025,Wealth Management Tax Administrator,Scotiabank,Wealth Management,Finance & Banking,Wealth Management,,Internships,https://www.scotiabank.com/careers/en/careers.html,,PRE,,80
2025,Math Tutor,Self-employed,Entrepreneurship,Academia,Academia,,,,,PRE,,80
2025,Private High School English Tutor,Self-employed,Entrepreneurship,Academia,Academia,,,,,PRE,,80
2025,Landscaper,Self-employed,Entrepreneurship,Business & Enterprise,,,,,Labor,PRE,,40
2025,Market Research Intern,Skills For Hope Foundation ,Government and NGO's/No-Profit Organizations (NPOs),Research,Internships,,,https://www.skillsforhope.org/,,PRE,,80
2025,Gameday Operator,Sportable,Data Science,Business & Enterprise,Data Science & Analytics,,,https://sportable.bamboohr.com/careers,,POST,Started during degree,40
2025,Investment Analyst,Spring,Consulting,Business & Enterprise,Data Science & Analytics,,,https://spring.is/careers/,,PRE,,70
2025,Investment Analyst,Spring,Consulting,Business & Enterprise,Data Science & Analytics,,,https://spring.is/careers/,,POST,Started during degree,70
2025,Small Business Owner,SSET Enterprises,Academia,Business & Enterprise,,,,https://www.linkedin.com/company/s-s-e-t-enterprises/about/,,PRE,,40
2025,Co-Founder,Stealth Startup,Entrepreneurship,Business & Enterprise,,,,https://harmonic.ai/careers,,PRE,,40
2025,Barista,Storm City Coffee,Other,"Hospitality & Retail (Food, Service Industries)","Hospitality & Retail (Food, Service Industries)",,,https://www.stormcitycoffee.com/,Food/Hospitality,POST,,80
2025,Clinic Receptionist,StudioHealth -Main St- [Studio-East],Health/Policy/Research,Customer Experience and Service Management,Health and Healthcare,,,https://studiohealth.ca/careers,Hospitality,PRE,,80
2025,Digital Marketing Manager,Susgrainable,Other,Marketing & Communications,Marketing & Communications,,,https://susgrainable.com/pages/careers,Food,PRE,,85
2025,Real Estate Intern,SV Estates,Other,Real Estate,Internships,,,,Real Estate,PRE,,80
2025,Research Associate,Synergia Foundation,Other,Research,Research,Academia,,https://synergiafoundation.org/,Think tank,PRE,,80
2025,Associate Product Owner,Tangerine,Wealth Management,Finance & Banking,Wealth Management,,,https://www.tangerine.ca/en/careers,,POST,,70
2025,Global Business Operations Rotational Associate,TD,Wealth Management,Finance & Banking,Finance & Banking,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,POST,,80
2025,"Summer Analyst, Enterprise Strategy",TD,Wealth Management,Finance & Banking,Consulting & Advisory,Finance & Banking,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,PRE,,85
2025,Campus Ambassador,TD,Wealth Management,Marketing & Communications,Finance & Banking,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,PRE,,80
2025,Customer Service Associate,TD,Wealth Management,Customer Experience and Service Management,Finance & Banking,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,POST,Started during degree,85
2025,"Marketing Specialist Intern, D2C",TELUS,Other,Marketing & Communications,Marketing & Communications,Technology,Operations and Supply Chain Management,https://www.telus.com/en/about/careers?linktype=ge-footer,Telecommunications,PRE,,85
2025,Bartender,The BeachHouse Seafood and Fine Dining,Other,"Hospitality & Retail (Food, Service Industries)",,,,https://www.thebeachhouserestaurant.ca/about/#careers,Food/Hospitality,PRE,,40
2025,Associate,The Stewart Group Inc.,Consulting,Business & Enterprise,,,,https://www.thestewartgroup.ca/join-us,,POST,Started during degree,70
2025,Summer Analyst,The Stewart Group Inc.,Consulting,Business & Enterprise,Data Science & Analytics,,,https://www.thestewartgroup.ca/join-us,,PRE,,70
2025,"Translator, Live Support",TOUR Organizing Committee,Other,Business & Enterprise,,,,,Tourism/Communications,PRE,,40
2025,Growth and Strategy Analyst,Trudent,Other,Marketing & Communications,Marketing & Communications,,,https://www.linkedin.com/company/trudent/about/,,POST,,85
